GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01
Id,Id2,Geography,Total; Estimate; Total civilian noninstitutionalized population,Total; Margin of Error; Total civilian noninstitutionalized population,Number Uninsured; Estimate; Total civilian noninstitutionalized population,Number Uninsured; Margin of Error; Total civilian noninstitutionalized population,Percent Uninsured; Estimate; Total civilian noninstitutionalized population,Percent Uninsured; Margin of Error; Total civilian noninstitutionalized population,Number Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Number Insured by  Coverage Type; Margin of Error; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Margin of Error; Total civilian noninstitutionalized population
9700000US4209990,4209990,"Fort LeBoeuf School District, Pennsylvania",14245,362,1088,241,7.6,1.7,13157,382,92.4,1.7
9700000US4210070,4210070,"Fox Chapel Area School District, Pennsylvania",28466,243,1361,253,4.8,0.9,27105,348,95.2,0.9
9700000US4210110,4210110,"North Schuylkill School District, Pennsylvania",15143,377,1373,334,9.1,2.2,13770,524,90.9,2.2
9700000US4210115,4210115,"North Star School District, Pennsylvania",9125,296,824,221,9.0,2.4,8301,347,91.0,2.4
9700000US4210200,4210200,"Franklin Area School District, Pennsylvania",16056,245,1556,218,9.7,1.3,14500,297,90.3,1.3
9700000US4210230,4210230,"Franklin Regional School District, Pennsylvania",23151,231,982,246,4.2,1.1,22169,320,95.8,1.1
9700000US4210350,4210350,"Frazier School District, Pennsylvania",8303,360,663,151,8.0,1.7,7640,334,92.0,1.7
9700000US4210380,4210380,"Freedom Area School District, Pennsylvania",11071,194,822,281,7.4,2.5,10249,342,92.6,2.5
9700000US4210440,4210440,"Freeport Area School District, Pennsylvania",11649,169,759,177,6.5,1.5,10890,235,93.5,1.5
9700000US4210530,4210530,"Galeton Area School District, Pennsylvania",2957,184,470,101,15.9,3.0,2487,159,84.1,3.0
9700000US4210590,4210590,"Garnet Valley School District, Pennsylvania",26832,185,769,304,2.9,1.1,26063,341,97.1,1.1
9700000US4210620,4210620,"Gateway School District, Pennsylvania",31171,134,2711,385,8.7,1.2,28460,394,91.3,1.2
9700000US4210650,4210650,"General McLane School District, Pennsylvania",17325,229,1599,348,9.2,2.0,15726,399,90.8,2.0
9700000US4210710,4210710,"Gettysburg Area School District, Pennsylvania",26632,346,2438,366,9.2,1.4,24194,454,90.8,1.4
9700000US4210740,4210740,"Girard School District, Pennsylvania",11181,33,926,205,8.3,1.8,10255,211,91.7,1.8
9700000US4210830,4210830,"Glendale School District, Pennsylvania",5601,268,686,129,12.2,2.2,4915,255,87.8,2.2
9700000US4210860,4210860,"Governor Mifflin School District, Pennsylvania",30778,81,1513,291,4.9,0.9,29265,292,95.1,0.9
9700000US4210870,4210870,"Great Valley School District, Pennsylvania",29592,197,2231,580,7.5,2.0,27361,601,92.5,2.0
9700000US4210920,4210920,"Greensburg Salem School District, Pennsylvania",25852,323,2306,378,8.9,1.4,23546,440,91.1,1.4
9700000US4210950,4210950,"Greater Johnstown School District, Pennsylvania",27320,240,3359,390,12.3,1.4,23961,423,87.7,1.4
