GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
9700000US4216020,4216020,"Mount Union Area School District, Pennsylvania",4063,195,3048,167,1015,148
9700000US4216050,4216050,"Mountain View School District, Pennsylvania",3492,145,2881,143,611,93
9700000US4216110,4216110,"Mt. Lebanon School District, Pennsylvania",13920,323,10164,293,3756,274
9700000US4216170,4216170,"Mount Pleasant Area School District, Pennsylvania",7628,231,5776,249,1852,212
9700000US4216200,4216200,"Muhlenberg School District, Pennsylvania",9382,221,7738,312,1644,259
9700000US4216230,4216230,"Muncy School District, Pennsylvania",2983,168,2190,180,793,145
9700000US4216290,4216290,"Greater Nanticoke Area School District, Pennsylvania",7814,292,4800,286,3014,215
9700000US4216380,4216380,"Nazareth Area School District, Pennsylvania",9948,217,8044,261,1904,229
9700000US4216410,4216410,"Neshaminy School District, Pennsylvania",25311,441,19150,460,6161,381
9700000US4216440,4216440,"Neshannock Township School District, Pennsylvania",4326,190,3412,193,914,170
9700000US4216500,4216500,"Woodland Hills School District, Pennsylvania",22048,536,12914,449,9134,494
