GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Total; Margin of Error; Population 16 years and over,In labor force; Estimate; Population 16 years and over,In labor force; Margin of Error; Population 16 years and over,Employed; Estimate; Population 16 years and over,Employed; Margin of Error; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Unemployment rate; Margin of Error; Population 16 years and over
9700000US4206810,4206810,"Cornell School District, Pennsylvania",5577,279,68.5,3.9,61.4,4.2,9.9,3.4
9700000US4206840,4206840,"Cornwall-Lebanon School District, Pennsylvania",28560,343,65.0,1.4,61.1,1.5,5.8,0.9
9700000US4206860,4206860,"Corry Area School District, Pennsylvania",11320,393,60.7,2.5,54.6,2.9,10.0,2.1
9700000US4206930,4206930,"Coudersport Area School District, Pennsylvania",4584,191,56.7,2.6,53.9,2.4,4.6,1.6
9700000US4206960,4206960,"Council Rock School District, Pennsylvania",58116,476,69.1,1.1,64.3,1.1,6.9,0.8
9700000US4207050,4207050,"Cranberry Area School District, Pennsylvania",7566,206,59.7,2.7,55.6,2.8,6.8,1.9
9700000US4207080,4207080,"Crawford Central School District, Pennsylvania",25198,355,59.1,2.1,53.9,2.4,8.8,2.0
9700000US4207110,4207110,"Cumberland Valley School District, Pennsylvania",45190,431,68.3,1.3,64.6,1.4,5.3,0.9
9700000US4207140,4207140,"Curwensville Area School District, Pennsylvania",6055,242,56.0,2.8,51.2,3.1,8.5,1.9
9700000US4207200,4207200,"Dallas School District, Pennsylvania",16915,265,64.2,2.3,60.1,2.2,6.3,1.5
9700000US4207230,4207230,"Dallastown Area School District, Pennsylvania",32557,522,68.0,1.8,62.8,1.7,7.7,1.2
9700000US4207290,4207290,"Daniel Boone Area School District, Pennsylvania",16310,268,71.6,2.1,64.8,2.6,9.4,2.2
